template_name,card_name,record_type,question_label,question_data_name,question_input_type,function_name,function_body,function_args
Mobile Shop,6 Reference,Question,Reference 1 Mobile,reference1Mobile,number,,,[]
Mobile Shop,6 Reference,Question,Reference 2 Name,reference2Name,text,,,[]
Mobile Shop,6 Reference,Question,Reference 2 Mobile,reference2Mobile,number,,,[]
Mobile Shop,7 RO Remarks,Question,RO Remarks,roRemarks,textArea,,,[]
Mobile Shop,8 Business Details,Function Definition,,,,declaredDailyRevenueFunction,return  (Number(totalCustServedInDay) * Number(perCustSalesTicketSize)).toFixed(2);,"[""totalCustServedInDay"", ""perCustSalesTicketSize""]"
Mobile Shop,8 Business Details,Question,Total Customers Served in a day,totalCustServedInDay,number,,,[]
Mobile Shop,8 Business Details,Question,Average per customer sales ticket size ,perCustSalesTicketSize,number,,,[]
Mobile Shop,8 Business Details,Question,Total Monthly Sales Amount from Service Business,declaredMonthlyRevenue,number,,,[]
Mobile Shop,8 Business Details,Question,Total Monthly Profit Amount from Service Business,declaredMonthlyIncomeTotal,number,,,[]
Mobile Shop,8 Business Details,Question,Percentage of income coming in bank account,incomePercentageInBank,number,,,[]
Mobile Shop,8 Business Details,Question,Bank Name where income is received,incomeBankName,text,,,[]
Mobile Shop,8 Business Details,Question,Is this bank account linked to QR code?,bankLinkedQr,radio,,,[]
Mobile Shop,8 Business Details,Question,Do you file GST?,fileGst,radio,,,[]
Mobile Shop,9 Business Outlook,Function Definition,,,,resetVariables,"/*
This is just raw code that does not have to be inside the function
window[""transitionApiParams!flowID!""].inputParams.{variableName} = [] // [] if is an datagrid 
window[""transitionApiParams!flowID!""].inputParams.{variableName} = 0 // [] if is an number type  
window[""transitionApiParams!flowID!""].inputParams.{variableName} = """" // [] if is an number type  
]
*/
  // for example : This is actual code
  if (value === ""No"") {
    window[""transitionApiParams!flowID!""].inputParams.mobileIncomeInfoGrid = []
    window[""transitionApiParams!flowID!""].inputParams.mobileTotalMonthlyRevenue = 0
  }","[""value""]"
Mobile Shop,9 Business Outlook,Question,How many similar shops are on the same street /road?,competitionRange,number,,,[]
Mobile Shop,9 Business Outlook,Question,Best Months of Business,businessBestMonth,checkbox,,,[]
Mobile Shop,9 Business Outlook,Question,"Right now, how much stock do you have on credit?",creditInventory,number,,,[]
Mobile Shop,9 Business Outlook,Question,What is the total number of staff members in the Business ?(including applicant),staffCount,number,,,[]
Mobile Shop,9 Business Outlook,Question,Do you  provide Mobile Repair services?,mobileRepair,radio,,,[]
Mobile Shop,9 Business Outlook,Question,Opening TIme,openingTIme,text,,,[]
Mobile Shop,9 Business Outlook,Question,Closing Time,closingTime,text,,,[]
Mobile Shop,9 Business Outlook,Question,Operational on weekends,weekendOperational,radio,,,[]
Mobile Shop,10 Mobile repair Income Details,Function Definition,,,,mobileSalesValueCalc,return (Number(params1) * Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,10 Mobile repair Income Details,Function Definition,,,,totalMobileSalesValueCalc,return (Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,10 Mobile repair Income Details,Function Definition,,,,getAccurateValuesRevenue,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Total Monthly Revenue"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-mobileTotalMonthlyRevenue"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,11 Purchase Details,Function Definition,,,,monthlyCostCalc,return(Number(params1)*Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,11 Purchase Details,Function Definition,,,,totalMonthlyCostCalc,return(Number(params1)+Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,11 Purchase Details,Function Definition,,,,getAccurateValuesExpense,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Total Cost"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-totalPurchaseCost"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,12 Additional Expense Details,Function Definition,,,,totalMonthlyAdditionalExpenseFunction,return (Number(additionalMonthlyStaffSalary) + Number(electricity) + Number(maintenance) + Number(wastage) + Number(transportation)+ Number(software) + Number(otherMonthlyExpense)).toFixed(2);,"[""additionalMonthlyStaffSalary"", ""electricity"", ""maintenance"", ""wastage"", ""transportation"", ""software"", ""otherMonthlyExpense""]"
Mobile Shop,12 Additional Expense Details,Function Definition,,,,totalMonthlyOperatingExpenseFunction,return  (Number(totalMonthlyAdditionalExpense) + Number(totalMonthlyPurchaseCost)).toFixed(2);,"[""totalMonthlyAdditionalExpense"", ""totalMonthlyPurchaseCost""]"
Mobile Shop,12 Additional Expense Details,Question,Monthly Salary to staff,additionalMonthlyStaffSalary,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Electricity,electricity,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Maintenance,maintenance,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Wastage,wastage,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Transport & Travel,transportation,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Software Tools / Subscriptions,software,number,,,[]
Mobile Shop,12 Additional Expense Details,Question,Other Monthly Expense,otherMonthlyExpense,number,,,[]
Mobile Shop,13 AM Remarks,Question,AM Remarks,amRemarks,textArea,,,[]
Mobile Shop,success,Function Definition,,,,totalRentExpenseFunction,const totalRentExpense = rentAmount || 0; return Number(totalRentExpense);,"[""rentAmount""]"
Mobile Shop,success,Function Definition,,,,assessedNetMonthlyIncomeFunction,const val1 = totalMonthlyRevenue || 0; const val2 = Number(totalMonthlyOperatingExpense)|| 0; const val3 = totalRentExpense || 0; return (Number(val1) - Number(val2) - Number(val3)).toFixed(2);,"[""totalMonthlyRevenue"", ""totalMonthlyOperatingExpense"", ""totalRentExpense""]"
Mobile Shop,success,Function Definition,,,,occGrossMarginFunction,"console.log({ totalMonthlyOperatingExpense, totalMonthlyRevenue }); return ((Number(Number(totalMonthlyRevenue)-Number(totalMonthlyOperatingExpense)) / Number(totalMonthlyRevenue)) * 100).toFixed(2);","[""totalMonthlyOperatingExpense"", ""totalMonthlyRevenue""]"
Mobile Shop,success,Function Definition,,,,occNetMarginFunction,"console.log({assessedNetMonthlyIncome, totalMonthlyRevenue}); return ((Number(assessedNetMonthlyIncome)/Number(totalMonthlyRevenue))*100).toFixed(2);","[""assessedNetMonthlyIncome"", ""totalMonthlyRevenue""]"
Mobile Shop,success,Function Definition,,,,assessedGrossMonthlyIncomeFunc,return (Number(totalMonthlyRevenue) - Number(totalMonthlyOperatingExpense  )).toFixed(2);,"[""totalMonthlyRevenue"", ""totalMonthlyOperatingExpense""]"
Mobile Shop,success,Function Definition,,,,annualInventoryTurnoverFunc,return ((Number(totalMonthlyRevenue) * 12) / Number(totalMonthlyInventoryValue)).toFixed(2);,"[""totalMonthlyRevenue"", ""totalMonthlyInventoryValue""]"
Mobile Shop,other repair Y/N,Function Definition,,,,resetVariables,"/*
This is just raw code that does not have to be inside the function
window[""transitionApiParams!flowID!""].inputParams.{variableName} = [] // [] if is an datagrid 
window[""transitionApiParams!flowID!""].inputParams.{variableName} = 0 // [] if is an number type  
window[""transitionApiParams!flowID!""].inputParams.{variableName} = """" // [] if is an number type  
]
*/
  // for example : This is actual code
  if (value === ""No"") {
    window[""transitionApiParams!flowID!""].inputParams.otherIncomeInfoGrid = []
    window[""transitionApiParams!flowID!""].inputParams.otherTotalMonthlyRevenue = 0
  }","[""value""]"
Mobile Shop,other repair Y/N,Question,Do you  provide Laptop or other accessories Repair services?,otherRepair,radio,,,[]
Mobile Shop,10 Other Income Details ,Function Definition,,,,otherSalesValueCalc,return (Number(params1) * Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,10 Other Income Details ,Function Definition,,,,otherTotalSalesValueCalc,return (Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,10 Other Income Details ,Function Definition,,,,getAccurateValuesRevenue,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Total Monthly Revenue"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-otherTotalMonthlyRevenue"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,mobile sales details,Function Definition,,,,profit,return(Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,itemTotalMonthlyRevenueCalc,return (Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,itemTotalMonthlyPurchaseCostCalc,return (Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,assessedGrossMonthlyitemIncomeCalc,return (Number(params1) + Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,minus,return(Number(params1)-Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,multiply,return(Number(params1)*Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Mobile Shop,mobile sales details,Function Definition,,,,itemTotalMonthlyInventoryValueCalc,return (Number(itemCurrentInventory) + Number(totalMonthlyInventoryValue)).toFixed(2);,"[""itemCurrentInventory"", ""totalMonthlyInventoryValue""]"
Mobile Shop,mobile sales details,Function Definition,,,,getAccurateValuesRevenue,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Monthly Revenue"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-itemTotalMonthlyRevenue"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,mobile sales details,Function Definition,,,,getAccurateValuesExpense,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Monthly Purchase Cost"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-itemTotalMonthlyPurchaseCost"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,mobile sales details,Function Definition,,,,getAccurateValuesIncome,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Gross Monthly Income"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-assessedGrossMonthlyitemIncome"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,mobile sales details,Function Definition,,,,getAccurateValuesInventory,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Current Inventory Value"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-totalMonthlyInventoryValue"").textContent = value
  return value","[""infoGrid""]"
Mobile Shop,combined summary page,Function Definition,,,,combinedTotalMonthlyRevenueFunc,return (Number(mobileTotalMonthlyRevenue) + Number(otherTotalMonthlyRevenue) + Number(itemTotalMonthlyRevenue)).toFixed(2);,"[""mobileTotalMonthlyRevenue"", ""otherTotalMonthlyRevenue"", ""itemTotalMonthlyRevenue""]"
Mobile Shop,combined summary page,Function Definition,,,,combinedTotalMonthlyExpenseFunc,return (Number(monthlyPurchaseCost) + Number(itemTotalMonthlyPurchaseCost)).toFixed(2);,"[""monthlyPurchaseCost"", ""itemTotalMonthlyPurchaseCost""]"
